epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,12.6748,3.15114,9.62732,5.54697,4.23617,0,0,0,0,0,0,0,0,3.38474,5.13439,5.32024,4.15734,2.72183e-05,2.72183e-05,2.72183e-05
37,12.9375,3.38963,8.07347,5.43962,4.28868,0,0,0,0,0,0,0,0,3.38482,5.13443,5.3207,4.15727,2.75718e-05,2.75718e-05,2.75718e-05
38,13.1604,3.03109,10.3532,5.44669,4.24613,0,0,0,0,0,0,0,0,3.38482,5.13443,5.3207,4.15727,2.79018e-05,2.79018e-05,2.79018e-05
39,13.4401,2.78791,14.6858,5.44426,4.34686,0,0,0,0,0,0,0,0,3.38542,5.13455,5.32243,4.15727,2.82082e-05,2.82082e-05,2.82082e-05
40,13.732,3.43309,9.76649,5.80695,4.30539,0,0,0,0,0,0,0,0,3.38542,5.13455,5.32243,4.15727,2.84911e-05,2.84911e-05,2.84911e-05
41,14.0196,3.00082,8.21719,5.58058,4.26514,0,0,0,0,0,0,0,0,3.38493,5.13436,5.32254,4.1572,2.87504e-05,2.87504e-05,2.87504e-05
42,14.2895,3.38383,8.56115,5.60917,4.20851,0,0,0,0,0,0,0,0,3.38493,5.13436,5.32254,4.1572,2.89861e-05,2.89861e-05,2.89861e-05
43,14.5738,3.01437,8.20488,5.6593,4.28716,0,0,0,0,0,0,0,0,3.38656,5.13531,5.32319,4.15714,2.91983e-05,2.91983e-05,2.91983e-05
44,14.7939,3.12598,8.0335,5.36362,4.24101,0,0,0,0,0,0,0,0,3.38656,5.13531,5.32319,4.15714,2.93869e-05,2.93869e-05,2.93869e-05
45,15.0264,2.82766,8.0332,5.54135,4.2508,0,0,0,0,0,0,0,0,3.38651,5.13575,5.32387,4.15732,2.9552e-05,2.9552e-05,2.9552e-05
46,15.3009,3.4068,15.948,5.96009,4.41004,0,0,0,0,0,0,0,0,3.38651,5.13575,5.32387,4.15732,2.96935e-05,2.96935e-05,2.96935e-05
47,15.5865,3.16032,7.96389,5.7047,4.29691,0,0,0,0,0,0,0,0,3.38657,5.13517,5.31918,4.15789,2.98114e-05,2.98114e-05,2.98114e-05
48,15.8656,3.09679,9.33554,5.54095,4.28662,0,0,0,0,0,0,0,0,3.38657,5.13517,5.31918,4.15789,2.99058e-05,2.99058e-05,2.99058e-05
49,16.1176,3.11597,7.21746,5.6066,4.25173,0,0,0,0,0,0,0,0,3.38714,5.13569,5.32443,4.15796,2.99766e-05,2.99766e-05,2.99766e-05
50,16.3823,2.94476,7.18017,5.45798,4.2259,0,0,0,0,0,0,0,0,3.38714,5.13569,5.32443,4.15796,3.00238e-05,3.00238e-05,3.00238e-05
51,16.6662,3.22549,9.58816,5.75433,4.29328,0,0,0,0,0,0,0,0,3.38712,5.13515,5.32007,4.15826,3.00475e-05,3.00475e-05,3.00475e-05
52,16.9478,3.18555,6.54351,5.3752,4.2727,0,0,0,0,0,0,0,0,3.38712,5.13515,5.32007,4.15826,3.00476e-05,3.00476e-05,3.00476e-05
53,17.2257,3.20626,7.55614,5.73348,4.24351,0,0,0,0,0,0,0,0,3.38712,5.13515,5.32007,4.15826,3.00242e-05,3.00242e-05,3.00242e-05
54,17.4955,3.26323,8.71757,5.4769,4.28753,0,0,0,0,0,0,0,0,3.38728,5.13604,5.32276,4.15829,2.99772e-05,2.99772e-05,2.99772e-05
55,17.7252,3.31371,7.50164,5.47676,4.19837,0,0,0,0,0,0,0,0,3.38728,5.13604,5.32276,4.15829,2.99066e-05,2.99066e-05,2.99066e-05
56,18.0584,3.00769,7.34606,5.57266,4.29809,0,0,0,0,0,0,0,0,3.38728,5.13604,5.32276,4.15829,2.98125e-05,2.98125e-05,2.98125e-05
57,18.3504,3.02118,7.25466,5.37891,4.27929,0,0,0,0,0,0,0,0,3.38732,5.13621,5.32404,4.15875,2.96948e-05,2.96948e-05,2.96948e-05
58,18.6305,2.65669,11.8934,5.68601,4.31241,0,0,0,0,0,0,0,0,3.38732,5.13621,5.32404,4.15875,2.95535e-05,2.95535e-05,2.95535e-05
59,18.9209,3.60019,11.08,5.77873,4.32491,0,0,0,0,0,0,0,0,3.38732,5.13621,5.32404,4.15875,2.93887e-05,2.93887e-05,2.93887e-05
60,19.179,3.03992,7.87893,5.53229,4.22479,0,0,0,0,0,0,0,0,3.38669,5.13347,5.32202,4.15969,2.92003e-05,2.92003e-05,2.92003e-05
61,19.4887,3.06365,12.7883,5.55574,4.27453,0,0,0,0,0,0,0,0,3.38669,5.13347,5.32202,4.15969,2.89884e-05,2.89884e-05,2.89884e-05
62,19.7528,3.09653,6.45939,5.59493,4.26465,0,0,0,0,0,0,0,0,3.38669,5.13347,5.32202,4.15969,2.87529e-05,2.87529e-05,2.87529e-05
63,20.0296,2.98336,6.06636,5.46909,4.20584,0,0,0,0,0,0,0,0,3.38725,5.13392,5.32559,4.1605,2.84938e-05,2.84938e-05,2.84938e-05
64,20.3135,3.24684,8.31513,5.57642,4.21877,0,0,0,0,0,0,0,0,3.38725,5.13392,5.32559,4.1605,2.82112e-05,2.82112e-05,2.82112e-05
65,20.5898,3.64684,8.8761,5.64988,4.27353,0,0,0,0,0,0,0,0,3.38725,5.13392,5.32559,4.1605,2.7905e-05,2.7905e-05,2.7905e-05
66,20.8825,3.29588,6.00598,5.3936,4.22532,0,0,0,0,0,0,0,0,3.38763,5.13689,5.32122,4.1604,2.75753e-05,2.75753e-05,2.75753e-05
67,21.1557,2.98824,6.21627,5.4486,4.19546,0,0,0,0,0,0,0,0,3.38763,5.13689,5.32122,4.1604,2.7222e-05,2.7222e-05,2.7222e-05
68,21.4317,3.76001,6.89553,5.56164,4.23723,0,0,0,0,0,0,0,0,3.38763,5.13689,5.32122,4.1604,2.68451e-05,2.68451e-05,2.68451e-05
69,21.7131,3.38213,18.0385,5.6754,4.35855,0,0,0,0,0,0,0,0,3.38714,5.13701,5.32113,4.16105,2.64447e-05,2.64447e-05,2.64447e-05
70,21.9906,3.05327,17.2425,5.34524,4.46686,0,0,0,0,0,0,0,0,3.38714,5.13701,5.32113,4.16105,2.60207e-05,2.60207e-05,2.60207e-05
71,22.2327,3.07202,11.0605,5.59966,4.2844,0,0,0,0,0,0,0,0,3.38714,5.13701,5.32113,4.16105,2.55731e-05,2.55731e-05,2.55731e-05
72,22.5023,3.16208,7.19158,5.48742,4.25959,0,0,0,0,0,0,0,0,3.38697,5.13723,5.32387,4.16163,2.5102e-05,2.5102e-05,2.5102e-05
73,22.7766,3.47399,5.81305,5.44367,4.19406,0,0,0,0,0,0,0,0,3.38697,5.13723,5.32387,4.16163,2.46073e-05,2.46073e-05,2.46073e-05
74,23.0457,3.55221,6.14009,5.68916,4.24451,0,0,0,0,0,0,0,0,3.38697,5.13723,5.32387,4.16163,2.40891e-05,2.40891e-05,2.40891e-05
75,23.3923,3.19205,7.15972,5.64519,4.2385,0,0,0,0,0,0,0,0,3.38743,5.13753,5.32523,4.16234,2.35472e-05,2.35472e-05,2.35472e-05
76,23.6753,2.90556,7.13585,5.54569,4.21654,0,0,0,0,0,0,0,0,3.38743,5.13753,5.32523,4.16234,2.29819e-05,2.29819e-05,2.29819e-05
77,23.9739,2.81066,6.25677,5.53188,4.29805,0,0,0,0,0,0,0,0,3.38743,5.13753,5.32523,4.16234,2.23929e-05,2.23929e-05,2.23929e-05
78,24.2296,3.33626,10.3118,5.51127,4.2255,0,0,0,0,0,0,0,0,3.38711,5.13766,5.32047,4.1633,2.17805e-05,2.17805e-05,2.17805e-05
79,24.5034,3.21836,8.13595,5.53787,4.24795,0,0,0,0,0,0,0,0,3.38711,5.13766,5.32047,4.1633,2.11444e-05,2.11444e-05,2.11444e-05
80,24.7762,3.06389,14.6774,5.557,4.27177,0,0,0,0,0,0,0,0,3.38711,5.13766,5.32047,4.1633,2.04848e-05,2.04848e-05,2.04848e-05
81,25.0501,3.61217,8.56288,5.80657,4.24112,0,0,0,0,0,0,0,0,3.3861,5.1378,5.3234,4.1645,1.98016e-05,1.98016e-05,1.98016e-05
82,25.3107,3.09156,8.9388,5.51207,4.25669,0,0,0,0,0,0,0,0,3.3861,5.1378,5.3234,4.1645,1.90949e-05,1.90949e-05,1.90949e-05
83,25.5927,2.87652,5.84456,5.57167,4.18101,0,0,0,0,0,0,0,0,3.3861,5.1378,5.3234,4.1645,1.83646e-05,1.83646e-05,1.83646e-05
84,25.8942,3.12955,7.4746,5.36028,4.26171,0,0,0,0,0,0,0,0,3.39365,5.13475,5.32094,4.16517,1.76107e-05,1.76107e-05,1.76107e-05
85,26.1761,2.9971,6.0014,5.40546,4.19827,0,0,0,0,0,0,0,0,3.39365,5.13475,5.32094,4.16517,1.68333e-05,1.68333e-05,1.68333e-05
86,26.4523,3.28182,7.21459,5.47024,4.20337,0,0,0,0,0,0,0,0,3.39365,5.13475,5.32094,4.16517,1.60323e-05,1.60323e-05,1.60323e-05
87,26.7168,2.80897,6.0591,5.40572,4.2005,0,0,0,0,0,0,0,0,3.39365,5.13475,5.32094,4.16517,1.52077e-05,1.52077e-05,1.52077e-05
88,26.9884,2.96333,8.21828,5.4342,4.23942,0,0,0,0,0,0,0,0,3.39296,5.13194,5.32333,4.16632,1.43596e-05,1.43596e-05,1.43596e-05
89,27.2822,2.91651,23.3014,5.37432,4.29314,0,0,0,0,0,0,0,0,3.39296,5.13194,5.32333,4.16632,1.34879e-05,1.34879e-05,1.34879e-05
90,27.5487,3.3658,5.52587,5.51683,4.1965,0,0,0,0,0,0,0,0,3.39296,5.13194,5.32333,4.16632,1.25927e-05,1.25927e-05,1.25927e-05
91,28.0798,2.6527,6.83662,5.55869,4.28564,0,0,0,0,0,0,0,0,3.39296,5.13194,5.32333,4.16632,1.16739e-05,1.16739e-05,1.16739e-05
92,28.3717,2.50843,6.45155,5.5347,4.2836,0,0,0,0,0,0,0,0,3.39455,5.13208,5.32128,4.16733,1.07315e-05,1.07315e-05,1.07315e-05
93,28.6354,3.06304,6.53528,5.61814,4.23978,0,0,0,0,0,0,0,0,3.39455,5.13208,5.32128,4.16733,9.76562e-06,9.76562e-06,9.76562e-06
94,28.8924,2.98313,8.32607,5.73749,4.29768,0,0,0,0,0,0,0,0,3.39455,5.13208,5.32128,4.16733,8.77613e-06,8.77613e-06,8.77613e-06
95,29.1899,3.09368,6.81873,5.56775,4.21191,0,0,0,0,0,0,0,0,3.39455,5.13208,5.32128,4.16733,7.76308e-06,7.76308e-06,7.76308e-06
96,29.4814,3.09365,7.42664,5.6783,4.29506,0,0,0,0,0,0,0,0,3.39319,5.13212,5.32096,4.16805,6.72648e-06,6.72648e-06,6.72648e-06
97,29.76,2.79684,7.19975,5.72497,4.2084,0,0,0,0,0,0,0,0,3.39319,5.13212,5.32096,4.16805,5.6663e-06,5.6663e-06,5.6663e-06
98,29.9889,2.79099,7.11035,5.69131,4.2735,0,0,0,0,0,0,0,0,3.39319,5.13212,5.32096,4.16805,4.58257e-06,4.58257e-06,4.58257e-06
99,30.2464,2.61856,9.48764,5.52656,4.25852,0,0,0,0,0,0,0,0,3.39319,5.13212,5.32096,4.16805,3.47528e-06,3.47528e-06,3.47528e-06
100,30.5254,2.61948,8.12879,5.67438,4.27083,0,0,0,0,0,0,0,0,3.38759,5.13536,5.3243,4.16896,2.34442e-06,2.34442e-06,2.34442e-06
